Country_id,Country Name,Region,World Rank,Region Rank,2022 Score,Property Rights,Judical Effectiveness,Government Integrity,Tax Burden,Govt Spending,Fiscal Health,Business Freedom,Labor Freedom,Monetary Freedom,Trade Freedom,Investment Freedom ,Financial Freedom,Tariff Rate (%),Income Tax Rate (%),Corporate Tax Rate (%),Tax Burden % of GDP,Govt Expenditure % of GDP ,Population (Millions),GDP (Billions),GDP Growth Rate (%),5 Year GDP Growth Rate (%),GDP per Capita (PPP),Unemployment (%),Inflation (%),FDI Inflow (Millions),Public Debt (% of GDP)
1,Afghanistan,Asia-Pacific,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,7.5,0,38.9,78.7,-5,1,2390,11.7,5.6,13,7.8
2,Albania,Europe,50,30,66.6,55.5,49.8,35.6,89.1,72.1,70.6,70.7,51.1,82,82.6,70,70,3.7,23,15,18.3,30.5,2.8,40.7,-3.5,2,14218,11.7,1.6,1107,76
3,Algeria,Middle East and North Africa,167,13,45.8,27.9,29.7,30.1,67.2,57.1,38.6,50,51.5,80.1,57.4,30,30,13.8,35,26,37.2,37.8,43.9,491.5,-6,0.1,11112,12.8,2.4,1125,53.1
4,Angola,Sub-Saharan Africa,139,29,52.6,39.8,25.3,20.6,86.6,86.4,80,37.6,53.9,61.2,70,30,40,7.5,25,25,9.4,21.3,32.9,215.1,-4,-1.9,6932,7.7,22.3,-1866,127.1
5,Argentina,Americas,144,27,50.1,35.1,57.9,45.1,73.3,53,16.8,55.1,51,37.9,60.6,55,60,12.2,35,25,28.6,39.6,45.4,941.8,-10,-2.8,20751,11.7,42,4123,103
6,Armenia,Europe,58,34,65.3,50.4,33.1,50.8,86.9,78.9,75.5,64.9,47.2,77.5,73.6,75,70,5.7,22,18,22.5,26.5,3,39.4,-7.6,2.6,13261,20.2,1.2,117,62.8
7,Australia,Asia-Pacific,12,4,77.7,91.7,95.2,87,62.5,51.6,52,84.6,64.2,83.2,90,80,90,2.5,45,30,28.7,40.2,25.7,1329.9,-2.4,1.5,51680,6.6,0.9,20146,63.1
8,Austria,Europe,22,15,73.8,98.4,94.6,82.9,45.5,20.3,71.7,82.3,78.4,82.3,79.2,80,70,2.9,55,25,42.4,51.6,8.9,491.5,-6.6,0.4,55218,5.8,1.4,-17340,85.2
9,Azerbaijan,Europe,75,37,61.6,53.6,15.9,28.6,87.7,62.7,99.1,64.6,55.9,74.5,66.6,70,60,9.2,25,20,14.3,35.3,10.1,145.8,-4.3,-0.7,14431,6.3,2.8,507,21.4
10,Bahamas,Americas,38,6,68.7,61.1,78.8,64.3,96.5,85.8,67.3,63.3,69.3,79.2,49,50,60,18,0,0,18.7,21.7,0.4,12.8,-16.3,-1.5,33148,14.4,0,897,68.6
11,Bahrain,Middle East and North Africa,74,4,62,65.9,27.4,41.6,99.9,65.5,0,60.2,54.9,81.1,83,85,80,6,0,0,3,33.9,1.7,73.8,-5.4,1.2,48766,4.1,-2.3,1007,132.9
12,Bangladesh,Asia-Pacific,137,29,52.7,36.3,28.1,22.2,82.6,93.2,54,55.6,36.6,70,63.8,50,40,10.6,25,32.5,7.7,15,164.7,874,3.8,6.8,5307,5.3,5.6,2564,38.9
13,Barbados,Americas,28,4,71.3,72.6,88.2,68.7,80.6,70.8,79.7,64.7,63.4,78.6,58.4,70,60,13.3,28.5,5.5,33.1,31.2,0.3,3.9,-17.6,-3.1,13553,12.8,2.9,262,149
14,Belarus,Europe,135,45,53,34.5,15.5,43.7,93.3,56.7,95.3,54.5,46.8,70.2,75.6,30,20,4.7,13,18,13.3,38,9.4,189.9,-0.9,0.7,20187,5.3,5.5,1397,48
15,Belgium,Europe,37,24,69.6,92.5,91.2,83.6,48.2,10.1,50.3,82.8,57.4,84.3,79.2,85,70,2.9,50,29,42.9,54.8,11.6,588.8,-6.4,0,51096,6,0.4,8437,115
16,Belize,Americas,109,22,56.6,34.7,70.2,38.1,77,64.1,37.6,54,59.9,82.5,55.6,55,50,17.2,25,25,32.4,34.6,0.4,2.5,-14.1,-1.5,6046,7.8,0.1,76,127.4
17,Benin,Sub-Saharan Africa,81,6,61,44.3,55.3,40.3,68.4,91.6,83.4,47.7,59.6,80.4,61.4,50,50,11.8,45,30,15.4,16.7,12.1,41.7,2,4.9,3437,2.5,3,176,45.4
18,Bhutan,Asia-Pacific,94,19,59.3,67.2,60.9,73.5,82.4,71.6,72.4,62.9,57.2,72.7,40.8,20,30,22.1,25,30,15.4,30.7,0.8,9,-0.8,4.2,12060,3.7,4.2,3,120.7
19,Bolivia,Americas,169,30,43,14.1,28.4,28.7,86,58.8,10.9,54.7,46.2,72.8,60.8,15,40,9.6,13,25,24.7,37.1,11.7,97.8,-7.7,1.4,8344,5.6,0.9,-1048,67.3
20,Bosnia and Herzegovina,Europe,68,36,63.4,49.2,37.2,33.4,94,46.2,95.9,66.6,60.2,84.9,68.8,65,60,8.1,10,10,20.1,42.4,3.3,49.3,-5.5,1.5,15047,16.9,-0.6,371,38.3
21,Botswana,Sub-Saharan Africa,61,3,64.8,74.2,70.1,61.4,87.4,59.8,19.2,56.7,61.6,75.4,77.2,65,70,6.4,25,22,12.1,36.6,2.4,39.6,-8.3,1.3,16893,17.7,2,80,20
22,Brazil,Americas,133,26,53.3,50.3,57.2,40,69.9,53.8,0.4,63.2,55.9,78.4,60,60,50,10,27.5,34,33.1,39.2,212.6,3153.6,-4.1,-0.6,14916,13.7,3.2,24778,98.9
186,Brunei Darussalam,Asia-Pacific,62,9,64.8,67,51.6,61.1,90.8,68.1,20,72.4,75,72.3,84.6,65,50,0.2,0,18.5,24,32.6,0.4,28.7,1.2,0.8,62371,8.4,1.9,577,2.9
23,Bulgaria,Europe,29,20,71,77.3,61.1,45.6,93.9,60.5,96.2,72.1,64.4,81.9,79.2,60,60,2.9,10,10,20.3,36.3,6.9,164.6,-3.8,2.1,23817,5.7,1.2,2426,23.8
24,Burkina Faso,Sub-Saharan Africa,100,13,58.3,47,36.3,41.4,81.8,82.3,66.1,41.9,61.6,75.6,61,65,40,9.5,27.5,28,16.8,24.3,20.9,47.3,0.8,5.1,2262,5,1.9,149,44.3
25,Burma,Asia-Pacific,149,32,49.6,23.1,16.7,29.8,87.2,86.8,67.2,41.7,49.6,73.9,69.4,30,20,5.3,25,25,5.9,21,54.4,278.8,3.2,5.7,5242,1.8,5.7,1834,39.3
26,Burundi,Sub-Saharan Africa,172,45,39.4,18.8,7.1,12.2,77.1,76.4,10.3,27.5,41.5,70.3,51,50,30,14.5,35,30,12.9,28.1,11.9,9,-1.3,0.4,760,0.8,7.3,6,69.5
27,Cambodia,Asia-Pacific,106,21,57.1,41.2,20.9,12.3,88.7,81.5,98,55.2,47.8,74.7,64.8,50,50,10.1,20,20,18.2,24.8,16.7,73.6,-3.5,5,4695,0.3,2.9,3625,31.6
28,Cameroon,Sub-Saharan Africa,136,27,52.9,39.1,10.9,19.9,74.7,90.1,78.7,60.4,46.4,79.9,55.2,30,50,14.9,35,33,14.6,18.2,26.5,96.8,-2.8,2.7,3646,3.6,2.8,488,43.2
29,Canada,Americas,15,1,76.6,89.5,96.4,86.7,75.7,39.6,62.8,78.8,68.7,78.2,83.2,80,80,3.4,33,15,33.5,44.9,38,1850.1,-5.4,0.6,48720,9.5,0.7,23823,117.8
30,Cabo Verde,Sub-Saharan Africa,49,2,66.7,66.1,77.4,60.9,77.5,68.1,48.3,59.8,52.4,84.4,66,80,60,12,35,24,21.2,32.6,0.6,3.6,-14,0.9,6424,13.4,0.6,73,139
31,Central African Republic,Sub-Saharan Africa,168,43,45.7,7.1,12.3,18.3,65.3,88.1,95.2,26.5,39.5,75.3,46.2,45,30,16.9,50,30,8.6,19.9,4.8,4.7,0,3.2,979,4.3,2.3,35,44.9
32,Chad,Sub-Saharan Africa,146,34,49.8,28.9,13.6,13.1,44.6,92.7,96.3,28.2,54.5,74.2,52,60,40,14,60,45,13.3,15.6,16.4,26.5,-0.9,-0.7,1611,2.3,3.5,558,43
33,Chile,Americas,20,2,74.4,73,91.4,71.4,72.4,78.1,75.3,76.2,58,79.4,78,70,70,6,40,27,20.7,27,19.1,454.7,-5.8,0.4,23366,11.5,3,8386,32.5
34,China,Asia-Pacific,158,35,48,43.7,37.4,39.3,71.2,64.2,11.1,68.8,57.2,70,73.2,20,20,3.4,45,25,15.2,34.5,1402.1,24142.8,2.3,5.7,17192,5,2.4,149342,66.8
35,Colombia,Americas,60,12,65.1,50.9,59.1,42,71.3,66,56.7,68.8,60.7,79.3,76.4,80,70,6.8,39,31,19.7,33.7,50.9,728.8,-6.8,0.5,14324,15.4,2.5,7690,62.8
36,Comoros,Sub-Saharan Africa,143,33,50.4,28.9,21.2,20.1,63,88.5,96.2,48.3,55.5,81.5,27,45,30,26.5,30,50,17.4,19.5,0.9,2.7,-0.5,2.5,3048,8.4,1.1,9,26.8
37,Congo Democratic Republic of the Congo,Sub-Saharan Africa,160,40,47.6,14.8,13.2,11.8,74.4,95.7,97.4,28.3,54,63.7,68,30,20,8.5,40,30,7.5,11.9,89.6,100.5,-0.1,3.3,1106,4.6,11.3,1647,15.2
38,Congo Republic of,Sub-Saharan Africa,155,37,48.5,30.4,14.9,13.4,82.4,86,80,29.5,43.3,80.5,56.4,35,30,11.8,30,28,8.5,21.6,5.5,19.6,-7.8,-6,4188,10.3,2.4,4016,101.7
39,Costa Rica,Americas,55,10,65.4,66.4,78.4,63.1,79.2,86.6,10.9,66,56.6,83.1,74.6,70,50,5.2,25,30,23.6,21.1,5.1,102.5,-4.8,1.6,19990,17.1,0.7,1711,68.3
40,Côte d'Ivoire,Sub-Saharan Africa,76,4,61.6,45.4,30,33.8,79.1,89.7,73.8,61,55.9,71.3,73.6,75,50,8.2,36,25,13.1,18.6,26.4,144.6,2.3,6,5365,3.5,2.5,509,45.7
41,Croatia,Europe,45,27,67.6,81.1,69.9,50,82.8,26.3,75.2,72.4,58.7,80.5,79.2,75,60,2.9,30,18,22.2,49.6,4,112.1,-9,0.7,27717,7.2,0.3,1304,87.2
42,Cuba,Americas,175,31,29.5,31.5,15.6,39.9,48.4,0,11.4,41.1,20,61.8,64,10,10,8,50,30,42,65.9,11.3,142.6,-11,-1.4,12600,3.9,0,0,69.4
43,Cyprus,Europe,23,16,72.9,85.6,90.9,62.9,80.3,44.3,71.2,74.9,66.4,83.9,79.2,75,60,2.9,35,12.5,24.2,43.1,1.2,35.5,-5.1,3,40107,7.2,-1.1,-3647,118.2
44,Czech Republic,Europe,21,14,74.4,88.8,81.8,59.6,78.9,44.7,93.2,80.6,56.5,79,79.2,70,80,2.9,23,19,34.9,42.9,10.7,434.4,-5.6,1.5,40618,2.9,3.2,6293,37.6
45,Denmark,Europe,10,7,78,98.6,89.6,99.5,42.3,21.1,96.2,89,64.4,85.7,79.2,90,80,2.9,56,22,46.3,51.3,5.8,343.2,-3.3,1.6,58933,5.7,0.3,1151,43.4
46,Djibouti,Sub-Saharan Africa,120,21,55.3,33.1,28.3,24.5,80,83.3,92.1,48.6,50.7,69.5,43.2,60,50,20.9,30,25,21.8,23.6,1,5.6,-1,5.4,5096,11.6,2.9,240,42.2
47,Dominica,Americas,125,24,54.4,68.1,81.6,56.2,71.6,8.5,1.1,55.8,59,84.9,55.6,70,40,14.7,35,25,31.5,55.2,0.1,0.8,-10.4,-1.9,11073,0,-0.3,25,97.1
48,Dominican Republic,Americas,71,16,63,54,55.9,30.8,84.6,89.9,66.8,68.1,52.9,73.5,69,70,40,8,25,27,13.5,18.3,10.8,194.6,-6.7,3.3,18608,8.9,3.8,2554,69.4
49,Ecuador,Americas,126,25,54.3,31.4,47.3,37.2,77.5,59.7,63.1,60.3,57.3,81.5,61,35,40,9.5,35,25,20.1,36.7,17.6,192.8,-7.5,-1,11009,6.2,-0.3,1017,64.6
50,Egypt,Middle East and North Africa,152,11,49.1,39,22.1,28.7,87.1,75.7,3.7,54.1,32.9,70.9,60.2,65,50,12.4,22.5,22.5,16.7,28.5,102.3,1290.2,3.6,4.6,12790,10.5,5.7,5852,90.2
51,El Salvador,Americas,90,18,59.6,43.2,46.8,36.1,77.7,74.7,50.3,65,54.6,76.8,69.4,60,60,7.8,30,30,20.8,29.1,6.5,54.6,-8.6,0.2,8422,7,0.2,200,88.2
52,Equatorial Guinea,Sub-Saharan Africa,163,41,47.2,18.9,6.9,6.5,75.1,91,94.8,34.4,46.5,73,48.8,40,30,15.6,35,35,6.3,17.3,1.4,25,-5.8,-6.4,17788,9.2,4.8,530,51.1
53,Eritrea,Sub-Saharan Africa,171,44,39.7,8.6,3.9,11.1,72.7,68.6,79,30.1,51.2,61.5,69.2,0,20,5.4,30,30,30.5,32.4,3.6,6.5,-0.6,2.7,1821,7.4,4.9,74,184.7
54,Estonia,Europe,7,4,80,91.5,92.3,83.9,81.1,48.4,93.3,86.9,61.1,82.8,79.2,90,70,2.9,20,20,33.1,41.5,1.3,50.2,-2.9,3,37745,6.5,-0.6,3156,18.5
156,Eswatini,Sub-Saharan Africa,141,31,51.4,46.1,36.9,32.1,78.6,63.9,15.6,48.9,54.8,77.9,71.8,50,40,9.1,33,27.5,17.2,34.7,1.2,10.1,-3.3,0.9,8957,23.4,3.9,41,47.1
55,Ethiopia,Sub-Saharan Africa,150,35,49.6,38.1,20.5,33.2,78.3,93,81.6,42.7,38.8,57.7,61.4,30,20,11.8,35,30,6.7,15.3,115,282.6,6.1,8.2,2908,2.8,20.4,2395,55.3
56,Fiji,Asia-Pacific,111,23,56.4,53.2,43.4,54.3,86.8,69.6,9.1,58.8,66,74.9,55.2,55,50,14.9,20,20,22.7,31.8,0.9,10.4,-19,-1.6,11567,4.8,-2.6,241,73.7
57,Finland,Europe,9,6,78.3,100,97.8,96.4,68.4,10.7,83.2,88.7,65.1,84.9,79.2,85,80,2.9,31.25,20,42.2,54.6,5.5,275.5,-2.9,1.1,49853,7.8,0.4,2575,67.1
58,France,Europe,52,31,65.9,93.8,85.5,75.9,52.1,0.5,39.1,81.9,58.8,79.1,79.2,75,70,2.9,45,26.5,45.4,57.6,67.4,2999.7,-8.2,-0.3,46062,8.6,0.5,17932,113.5
59,Gabon,Sub-Saharan Africa,115,19,55.8,26.8,18.6,24.4,77.4,90.2,89.5,49.9,54,81.5,56.8,60,40,14.1,35,30,11.5,18.1,2.2,33.7,-1.8,1.1,15970,20.5,1.3,1717,72.5
60,Gambia,Sub-Saharan Africa,102,14,58,47.6,37.2,38.1,79.3,84.1,68.9,50.5,47.3,64.1,63.8,65,50,13.1,35,27,10.8,23,2.4,5.5,0,4,2275,9.6,5.9,46,75.8
61,Georgia,Europe,26,18,71.8,63.8,56.4,64.4,89.1,72.7,67.1,74.1,61.9,76,86.6,80,70,1.7,20,15,22.2,30.2,3.7,55.3,-6.1,2.3,14918,12.1,5.2,617,60.6
62,Germany,Europe,16,11,76.1,95.7,95.3,89.4,59.9,34.5,90.4,87.2,52.3,79.5,79.2,80,70,2.9,47.5,15.8,38.8,46.7,83.2,4496.8,-4.9,0.4,54076,4.3,0.4,35651,68.9
63,Ghana,Sub-Saharan Africa,89,9,59.8,60.7,57,45.4,82.8,83.8,7.8,60.9,55.4,70.8,63,70,60,11,30,25,14.1,23.2,31.1,175.2,0.9,5,5693,4.5,9.9,1877,78
64,Greece,Europe,77,38,61.5,76,69.9,52.3,59.9,17.9,67.6,70.3,61.1,78.6,79.2,55,50,2.9,44,24,38.7,52.3,10.7,307.9,-8.2,-0.8,28748,16.9,-1.3,3572,213.1
65,Guatemala,Americas,69,15,63.2,39.8,36.9,26.5,91.5,94,83.3,62.1,50.3,79.3,75,70,50,5,7,25,13.1,14.1,16.9,149,-1.5,2.3,8293,4.7,2.4,915,31.7
66,Guinea,Sub-Saharan Africa,129,25,54.2,21.4,27.8,25.6,69.3,92.8,92,45.4,49.5,69.7,66.4,50,40,9.3,40,35,15.6,15.5,13.1,36.4,5.2,7.6,2604,4.4,10.6,325,41.4
67,Guinea-Bissau,Sub-Saharan Africa,166,42,46,29.1,14,15.9,88.8,85.8,31.3,31.5,56.4,83.4,55.8,30,30,12.1,20,25,9.5,21.8,2,4.3,-2.4,3.1,2348,3.2,1.5,20,78.1
68,Guyana,Americas,91,19,59.5,46.9,47.4,41.5,67.5,74.8,67.4,63.1,67.3,83.3,69.4,55,30,5.3,33.3,40,23.2,29,0.8,15.5,43.4,12.1,19684,15.8,0.7,1834,43.9
69,Haiti,Americas,145,28,50,24.1,18.6,14.3,81.5,97,94.8,33.5,54.7,56.2,65.4,30,30,7.3,30,30,7.4,10.1,11.4,33.2,-3.7,0.1,2916,14.5,22.9,30,25.1
70,Honduras,Americas,92,20,59.5,40.3,29,25.4,82.7,78.7,92.1,56.9,39.1,72.7,71.6,65,60,6.7,25,25,21.9,26.6,9.9,54.2,-8,1.4,5450,9.4,3.5,419,48.9
72,Hungary,Europe,48,29,66.9,75.8,62.2,44.4,84.1,31.6,58.4,77.2,61.2,78.5,79.2,80,70,2.9,15,9,35.8,47.7,9.7,322.7,-5,2.3,33030,4.4,3.3,4169,81.2
73,Iceland,Europe,13,9,77,97.1,94.8,85.3,72.9,36.8,76.1,83.3,67.4,79.3,81,80,70,2,31.8,20,36.1,45.9,0.4,20.4,-6.6,2.2,55966,5,2.9,-811,79.9
74,India,Asia-Pacific,131,27,53.9,49.9,51.5,42.4,79.5,76.2,4,63.9,58.2,70,71,40,40,7,30.9,32.4,6.8,28.2,1380,8907.1,-8,3.5,6461,7.1,6.2,64062,89.6
75,Indonesia,Asia-Pacific,63,10,64.4,38.6,43.2,39.9,85.3,91.2,80.1,66.6,59.3,80.3,78.6,50,60,5.7,30,22,9.5,17.1,273.5,3302.4,-2.1,3.6,12222,4.1,2,18581,36.6
76,Iran,Middle East and North Africa,170,14,42.4,26.6,29.4,19.8,80.8,92.5,54.7,38.9,49.4,42.3,59.2,5,10,12.9,35,25,8.4,15.8,84,1100.1,1.5,1.2,13073,11,36.5,1342,42.8
77,Iraq,Middle East and North Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,35,1.4,40.3,40.2,401.4,-10.9,1.2,10003,13.7,0.6,-2896,81.2
78,Ireland,Europe,3,2,82,92.6,93,80.7,76.5,79.9,89,87.2,60.9,85.2,79.2,90,70,2.9,41,12.5,22.7,25.9,5,471.4,2.5,5.8,94392,5.9,-0.5,33424,59.8
79,Israel,Middle East and North Africa,43,2,68,83.2,85,65.2,60.4,48.4,23.1,81.1,56.5,84.8,78.8,80,70,3.1,50,23,30.5,41.5,9.2,373.7,-2.4,2.4,40547,4.6,-0.6,24758,73
80,Italy,Europe,57,33,65.4,81.7,78.6,57.3,57.7,20.6,49,73.8,70.4,86.2,79.2,80,50,2.9,43,24,42.5,51.4,59.6,2461.7,-8.9,-0.9,40861,9.3,-0.1,-388,155.6
81,Jamaica,Americas,46,7,67.4,65,70.6,49,76.6,71.6,79.4,56.5,64.7,76.2,69.2,80,50,10.4,30,25,28.6,30.8,3,27.3,-10.2,-1,9975,8.4,5.2,366,105.6
82,Japan,Asia-Pacific,35,6,69.9,94.6,95.3,81.4,67.4,52.5,19.7,78.3,66.6,87.1,75.4,60,60,2.3,40.8,23.9,32,39.8,125.8,5313,-4.8,-0.3,42248,3,0,10254,256.2
83,Jordan,Middle East and North Africa,87,5,60.1,53.7,42.6,49.5,84.8,71.6,15.9,59.6,57.2,84.2,71.8,70,60,9.1,30,20,14.8,30.8,10.2,105.2,-2,1.2,10306,18.5,0.4,726,88.5
84,Kazakhstan,Asia-Pacific,64,11,64.4,55.3,34.5,37.9,92.7,86.5,93.5,64.7,62.7,69.1,75.4,50,50,4.8,10,20,15.1,21.2,18.8,501.3,-2.6,2.2,26565,6.1,6.8,3877,27.4
85,Kenya,Sub-Saharan Africa,138,28,52.6,40.6,39,30.9,79,82.2,10.6,56.1,56.8,75.5,56,55,50,12,30,30,17.4,24.4,53.8,239.8,-0.1,4.4,4926,3,5.3,717,68.7
86,Kiribati,Asia-Pacific,96,20,59.2,70.6,81.8,45.4,69.3,0,99.4,63.2,65.1,80.7,80,25,30,0,35,35,24.9,119.1,0.1,0.3,-0.5,2.7,2200,0,2.5,0,17.3
87,Korea North ,Asia-Pacific,177,39,3,16.3,6.5,3.8,0,0,0,5,5,0,0,0,0,0,0,0,0,0,25.8,0,-8,-1.88,0,2.8,0,6,0
88,Korea South,Asia-Pacific,19,5,74.6,90.5,77.1,69.2,60.4,84.5,95.3,84.8,55.6,85.2,73,60,60,8.5,49.5,27.5,27.4,22.7,51.8,2310.4,-1,2,44621,4.1,0.5,9224,48.7
185,Kosovo,Europe,86,40,60.1,47.4,31,37.5,92.5,71.6,67.4,68,53.1,79.1,78.6,65,30,3.2,10,10,23.4,30.7,1.8,20.4,-6,2.2,11274,0,0.2,304.2259986,24.4
