Country_id,Country Name,Region,World Rank,Region Rank,2022 Score,Property Rights,Judical Effectiveness,Government Integrity,Tax Burden,Govt Spending,Fiscal Health,Business Freedom,Labor Freedom,Monetary Freedom,Trade Freedom,Investment Freedom ,Financial Freedom,Tariff Rate (%),Income Tax Rate (%),Corporate Tax Rate (%),Tax Burden % of GDP,Govt Expenditure % of GDP ,Population (Millions),GDP (Billions),GDP Growth Rate (%),5 Year GDP Growth Rate (%),GDP per Capita (PPP),Unemployment (%),Inflation (%),FDI Inflow (Millions),Public Debt (% of GDP)
89,Kuwait,Middle East and North Africa,101,7,58.3,41.9,42,43.8,97.7,4,99.7,55.4,52.7,71.7,75.6,55,60,4.7,0,15,1.4,56.6,4.3,203.3,-8.1,-1.6,41627,6.8,2.1,-319,11.5
90,Kyrgyz Republic,Asia-Pacific,116,24,55.8,25.1,11.8,28.8,94.8,66.7,79,56.1,52.2,71.4,73.2,60,50,5.9,10,10,17.9,33.3,6.6,32.8,-8,1.8,5036,7.9,6.3,-331,74.3
91,Laos,Asia-Pacific,151,33,49.2,41.1,11.1,20.4,87.2,88.4,44,60.5,44.3,71.8,66.8,35,20,9.1,24,24,11.4,19.7,7.3,58.9,-0.4,4.9,8111,1,5.1,968,68
92,Latvia,Europe,18,13,74.8,88.5,75.1,61.1,76.4,53.2,91.4,81.9,62.4,83.8,79.2,85,60,2.9,31.4,20,31.2,39.5,1.9,60.1,-3.6,1.6,31509,8.2,0.1,873,45.5
93,Lebanon,Middle East and North Africa,162,12,47.3,33.7,27.4,22.8,88.5,77.4,0,48.8,54.2,41.1,74.2,50,50,5.4,25,17,15.3,27.4,6.8,78.9,-25,-6.2,11564,6.6,88.2,3067,154.4
94,Lesotho,Sub-Saharan Africa,157,38,48.1,45,44.1,42.8,77.4,4.5,27.5,44.2,58.3,75.9,62.2,55,40,11.4,35,25,20.2,56.4,2.1,5.6,-4.5,-1.1,2718,24.7,4.9,102,50.3
95,Liberia,Sub-Saharan Africa,159,39,47.9,32.2,23.4,25.1,86.1,68,64.6,34.8,43.2,61.7,60.8,55,20,12.1,25,25,12,32.7,5.1,7.3,-3,-0.7,1557,3.3,17,87,61.8
96,Libya,Middle East and North Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,20,0,0,6.9,39.2,-59.7,5.6,5893,19.4,22.3,18420,11.3
97,Liechtenstein,Europe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,12.5,0,0,0.038,0,0,0,0,1.9,0,0,0
98,Lithuania,Europe,17,12,75.8,88.6,74.6,66.6,84.544844,59.9,86.5,87.3,59.5,82.3,79.2,70,70,2.9,20,15,30.3,36.6,2.8,108.6,-0.8,2.9,38824,8.4,1.1,479,47
99,Luxembourg,Europe,5,3,80.6,97.4,96.4,89.5,64.1,41.5,98.7,89.3,56.3,80.1,79.2,95,80,2.9,42,17,39.2,44.1,0.6,73.9,-1.3,2.1,118002,6.7,0,62145,25.5
101,North Macedonia,Europe,53,32,65.7,57.4,50.2,38.7,95,67.7,69.8,74.4,54.1,78.3,77.8,65,60,6.1,10,10,17.2,32.8,2.1,34.7,-4.5,1.1,16712,18.4,1.2,274,51.3
102,Madagascar,Sub-Saharan Africa,98,12,58.9,40.3,33.4,23,90.7,92.9,87.8,37.4,56,75.9,64.8,55,50,10.1,20,20,11.4,15.4,27.7,44.1,-4.2,2.3,1599,1.9,4.2,359,43.6
103,Malawi,Sub-Saharan Africa,134,26,53,48.1,53,29.4,78.7,87.4,11,34,56.4,71.1,67.4,50,50,8.8,30,30,18.3,20.5,19.1,20.7,0.6,2.9,993,6,8.6,98,67.3
104,Malaysia,Asia-Pacific,42,8,68.1,65.6,57.6,53.9,83.8,82.9,73.4,67.1,57,83.6,82.2,60,50,3.9,30,24,12,23.9,32.4,902.6,-5.6,2.7,27402,4.6,-1.1,3483,67.5
105,Maldives,Asia-Pacific,161,36,47.3,47.2,32.1,43.1,96.9,55.2,0,39.8,51.6,77.2,60,35,30,12.5,0,0,17.5,38.6,0.5,7.4,-32.2,-0.7,19609,7.2,-1.6,348,142.6
106,Mali,Sub-Saharan Africa,114,18,55.9,34,34.1,28.3,69.8,83.9,70.8,44.2,54.2,82.8,64,65,40,10.5,40,35,14.1,23.2,20.3,47.2,-2,3.7,2401,7.5,0.6,308,44.2
107,Malta,Europe,27,19,71.5,87.8,89.9,55.8,69,54.6,86.2,75.5,61.8,78.5,79.2,70,50,2.9,35,35,25.5,38.9,0.5,22.1,-7,3.2,42856,4.1,0.8,3917,55.4
108,Mauritania,Sub-Saharan Africa,119,20,55.3,36.9,29.9,23.5,75.2,89.4,92.9,35.7,48.9,80.3,60.6,50,40,9.7,40,25,16,18.8,4.6,24.2,-2.2,2.1,5834,10.7,2.3,978,59.5
109,Mauritius,Sub-Saharan Africa,30,1,70.9,85.6,81.7,56.5,91.3,73.4,6.8,72,69.8,75.9,87.4,80,70,1.3,15,15,20.4,29.8,1.3,25.7,-15.8,-0.3,20292,7.1,2.5,246,87.8
110,Mexico,Americas,67,14,63.7,47.7,40.7,32,76,78.3,78,69.2,58.4,73,76.6,75,60,4.2,35,30,16.5,26.9,128.9,2444.7,-8.2,-0.3,19130,4.7,3.4,29079,60.6
111,Micronesia,Asia-Pacific,82,16,61,54.3,82.2,56.8,80.7,0,99.5,52.4,81.5,84.3,74.8,35,30,5.1,10,21,37.3,61.5,0.1,0.4,-1.6,0.7,3446,16.2,0.5,NA,16
112,Moldova,Europe,78,39,61.3,55.9,30.7,34.7,94.1,68.1,87.2,64.2,46.4,72.4,76.6,55,50,4.2,12,12,17.3,32.6,2.6,33.7,-7.5,1.8,12811,4.7,3.8,55,35.3
113,Mongolia,Asia-Pacific,66,12,63.9,48.8,57.1,37,89.2,68.2,81.9,66.5,67.5,76,74.4,50,50,5.3,10,25,18.7,32.6,3.3,39.7,-5.3,2.7,11825,4.3,3.7,1719,76.6
114,Montenegro,Europe,103,41,57.8,61.3,43,46.4,83.9,29.5,11.9,67.1,61.7,85.6,78.8,75,50,5.6,9,9,38.1,48.5,0.6,12,-15.2,0.3,19252,15.9,-0.2,529,108.8
115,Morocco,Middle East and North Africa,97,6,59.2,57.8,32.7,41,68.2,69.8,46,64.8,46.4,80,68.6,65,70,10.7,38,31,27.8,31.8,36.9,274,-7,0.8,7620,10.2,0.6,1763,76.1
116,Mozambique,Sub-Saharan Africa,142,32,51.3,31.9,44.1,26.3,72.2,70.3,52.7,36.7,47.4,78.8,70.6,35,50,7.2,32,32,27.1,31.5,31.3,40.8,-0.5,2.6,1277,3.4,3.1,2337,122.2
117,Namibia,Sub-Saharan Africa,95,11,59.2,63.8,67.6,53.9,72.3,56.5,22.4,55.4,63.4,79,71.2,65,40,6.9,37,32,19.4,38.1,2.5,23.8,-7.2,-1.8,9397,20.4,2.6,-75,65.7
118,Nepal,Asia-Pacific,148,31,49.7,37.4,34.1,33.8,82.6,77.2,51.5,60.2,51.5,70,57.6,10,30,13.7,25,25,22.1,27.6,29.1,117.1,-1.9,4.4,4061,4.4,6.2,126,41.3
119,Netherlands,Europe,8,5,79.5,96.2,96.9,92.3,51.2,45.4,93.6,88.1,58.9,82.1,79.2,90,80,2.9,52,25,39.3,42.7,17.4,1001.5,-3.8,1.1,57534,4.1,1.1,-115300,54
120,New Zealand,Asia-Pacific,4,2,80.6,88.2,95.9,97.5,70.8,53.5,88.3,81.3,70.5,81.8,90,70,80,2.5,33,28,32.3,39.4,5.1,213.9,-3,2.1,42018,4.6,1.7,4216,41.3
121,Nicaragua,Americas,122,23,54.8,30.1,19.5,19,75.3,76.2,87.3,53.8,46.9,72,67.8,60,50,6.1,30,30,25.9,28.2,6.6,36.2,-3,-0.3,5575,5.8,3.7,182,46
122,Niger,Sub-Saharan Africa,121,22,54.9,37.4,35.9,32.5,77.5,85.7,69,35.2,53.6,74.6,62.6,55,40,11.2,35,30,11.1,21.9,24.2,30.5,1.2,5,1259,0.7,2.8,367,44.2
123,Nigeria,Sub-Saharan Africa,124,23,54.4,22.1,33.8,22.7,84.8,95.3,58.1,41.2,73.6,67.5,68.6,45,40,8.2,24,30,6.3,12.5,206.1,1069.2,-1.8,0.3,5187,9,13.2,2385,35.1
124,Norway,Europe,14,10,76.9,99.6,97.3,96,56.4,19.5,96.6,91.4,68.8,76.9,85.4,75,60,2.3,47.8,22,39.9,51.8,5.4,354.6,-0.8,0.9,65800,4.6,1.3,-2394,41.4
125,Oman,Middle East and North Africa,108,8,56.6,74.9,27.1,53.3,97.7,32.8,6.9,58.1,45.7,84.7,73.4,65,60,5.8,0,15,2.6,47.3,5.1,134.2,-6.4,-0.2,30178,5,-0.9,4093,81.1
126,Pakistan,Asia-Pacific,153,34,48.8,29,28.5,27.4,78,85.1,4.8,49.5,51.6,65.9,65.8,60,40,9.6,35,29,11.4,22.3,220.9,1074.1,-0.4,3.4,5150,4.7,10.7,2105,87.2
127,Panama,Americas,56,11,65.4,58.8,50.7,38,85.5,81.9,40.7,67.1,61.5,78.1,77.2,75,70,6.4,25,25,14.1,24.6,4.3,115.5,-17.9,-0.2,27003,10.2,-1.6,589,63.5
128,Papua New Guinea,Asia-Pacific,123,26,54.6,42.7,44.2,26.2,72,86,64.1,47.9,65.1,71.4,80.4,25,30,2.3,42,30,11.8,21.6,8.9,33.7,-3.9,2.1,3833,2.7,5,-935,49.2
129,Paraguay,Americas,73,17,62.9,45.5,37.9,29.5,96.1,84,68.8,65.4,39.4,75.6,77,75,60,6.5,10,10,13.9,23.1,7.1,93.4,-0.9,2.3,12881,7.6,1.8,568,34.8
130,Peru,Americas,51,8,66.5,49.7,49.7,39.7,79.5,84.2,73.1,65.3,59.6,81.4,81.4,75,60,1.8,30,29.5,16.6,23,33,397.6,-11.1,0.3,11871,6.2,1.8,982,35.4
131,Philippines,Asia-Pacific,80,15,61.1,47.1,25.6,34.7,76.8,84.2,81.8,61.5,58,69.4,73.8,60,60,5.6,35,30,14,23,109.6,919.4,-9.5,3.4,8452,3.4,2.6,6542,47.1
132,Poland,Europe,39,25,68.7,72.3,54.7,60.6,73.6,41.9,78.3,78.7,55.7,79.1,79.2,80,70,2.9,32,19,35.4,44,38,1294.5,-2.7,3,34103,3.6,3.4,10080,57.7
133,Portugal,Europe,31,21,70.8,89.9,92.1,67.8,60.4,39.5,72.8,76.2,55.5,86.8,79.2,70,60,2.9,48,21,34.8,44.9,10.3,350.2,-7.6,0.7,34043,7.2,-0.1,6324,131.6
134,Qatar,Middle East and North Africa,44,3,67.7,68.6,38.8,60,97.8,69.3,89.7,58.6,51.9,76,81.4,60,60,4.3,0,0,14.7,32,2.9,262,-2.6,0.2,93508,3.5,-2.7,-2434,71.8
135,Romania,Europe,47,28,67.1,81,64.8,45.4,94.3,63.9,42.8,71.4,64.1,78.8,79.2,70,50,2.9,10,16,14.6,34.7,19.3,589.7,-3.9,3.3,30526,4.8,2.6,2322,50.1
136,Russia,Europe,113,43,56.1,36.8,34.7,29.7,93.1,62.6,99.3,62.5,57.3,68,69,30,30,5.5,13,20,11,35.3,144.1,4096.5,-3.1,0.8,27903,5.7,3.4,9676,19.3
137,Rwanda,Sub-Saharan Africa,105,16,57.1,61.1,26.6,54.7,79.1,76.3,61.6,50.7,42.6,74.4,58.2,60,40,13.4,30,30,17.1,28.1,13,29.6,-0.2,5.5,2337,1.4,8,135,61
138,Saint Lucia,Americas,65,13,64.3,66.8,76.9,58.1,77.5,78.7,50.1,61.5,58.2,82.2,56.6,65,40,14.2,30,30,21.1,26.7,0.2,2.4,-18.9,-1.4,13359,17.1,-1.8,15,84.4
139,Saint Vincent and the Grenadines,Americas,54,9,65.7,64,76.9,62,75.5,66.9,68.5,61.4,58.8,84.2,59.8,70,40,12.6,30,30,25.4,33.2,0.1,1.4,-4.2,0.2,12606,20.3,-0.6,73,87.2
140,Samoa,Asia-Pacific,40,7,68.3,78.4,78.4,53.7,78.6,68.5,95.6,61.5,71.6,81.4,66.4,55,30,9.3,27,27,26.2,32.4,0.2,1.1,-3.2,1.5,5653,8.9,1.5,-1,46.7
141,São Tomé and Príncipe,Sub-Saharan Africa,85,7,60.3,44.1,62.2,48.7,88.2,83.1,85.9,49,41.6,65.9,65,60,30,10,20,25,12.5,23.7,0.2,0.8,-6.5,1.2,3829,13.9,9.8,47,81.4
142,Saudi Arabia,Middle East and North Africa,118,9,55.5,46.7,35.8,50.7,99.3,57.3,17.9,68.1,41.2,79,74.8,45,50,5.1,2.5,2.5,7.4,37.7,34.8,1627.3,-4.1,-0.1,46811,8.2,3.4,5486,32.4
143,Senegal,Sub-Saharan Africa,88,8,60,58,49.8,47.8,72.3,82.1,56.7,57.9,53.9,76.1,65.8,60,40,9.6,40,30,16.5,24.4,16.7,58.3,0.8,5,3478,7.1,2.5,1481,65.8
144,Serbia,Europe,59,35,65.2,58.8,50.4,37.9,90.9,42.5,85.7,74.4,62.9,81.6,77,70,50,6.5,10,15,24.1,43.8,6.9,132.8,-1,2.6,19146,9.1,1.7,3440,58.4
145,Seychelles,Sub-Saharan Africa,79,5,61.1,78.8,62.4,65.2,76.4,42.5,36.7,61.2,61.7,82.1,81.2,55,30,4.4,15,33,32.4,43.8,0.1,2.5,-13.4,-0.1,25414,0,1.2,122,98.4
146,Sierra Leone,Sub-Saharan Africa,140,30,52,43.1,41.9,32.4,86.7,84.9,54,34.4,38.2,65.1,63.6,60,20,13.2,15,30,14.4,22.4,8,13.8,-2.2,3.4,1725,4.6,15.7,349,71.9
147,Singapore,Asia-Pacific,1,1,84.4,94.4,58.3,92.8,90.5,90.1,79.6,83.1,77,86.5,95,85,80,0,22,17,13.2,18.2,5.7,560.2,-5.4,1.5,97057,5.2,-0.2,90562,128.4
148,Slovakia,Europe,36,23,69.7,83.2,71.9,53.7,77.3,41.8,76,75.9,56.5,75.5,79.2,75,70,2.9,25,21,34.7,44.1,5.5,178.5,-5.2,1.2,32710,6.8,2,-1930,60.7
149,Slovenia,Europe,32,22,70.5,89.7,91.6,66.7,57.2,36.4,77.4,79.7,63.3,85.1,79.2,70,50,2.9,50,19,37.7,46,2.1,81.3,-5.5,2,38807,5.2,-0.1,529,81.5
150,Solomon Islands,Asia-Pacific,110,22,56.5,50.6,59.5,42.3,70.5,60.1,98,44.4,60.2,79,68.6,15,30,8.2,40,30,21.2,36.5,0.7,1.6,-4.3,2.4,2455,0.8,3.4,9,13.9
184,Somalia,Sub-Saharan Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.9,13.9,-1.5,1.6958,925,13.1,0,464,0
151,South Africa,Sub-Saharan Africa,112,17,56.2,43.2,61.3,48.4,63.4,68.1,8.1,65.7,71.1,78,72.2,45,50,6.4,45,28,29.1,32.6,59.3,717.4,-7,-0.8,12032,28.7,3.3,3106,77.1
152,Spain,Europe,41,26,68.2,87.7,74.3,67.2,59.7,38.3,29.7,75.2,61.8,85.4,84.2,85,70,2.9,47,25,34.7,45.3,47.4,1808.7,-11,-0.1,38392,15.7,-0.3,8928,117.1
153,Sri Lanka,Asia-Pacific,132,28,53.3,51.7,57.7,40.1,90.3,87.4,0,58.3,55.7,71.6,47,40,40,19,18,24,8.1,20.5,21.9,289.9,-3.6,2,13215,4.8,4.6,434,100.1
154,Sudan,Sub-Saharan Africa,174,47,32,22.2,13.2,14.6,84.9,92.9,0,25,44.8,13.7,48,5,20,16,15,35,7.8,15.4,43.8,181.7,-3.6,-0.9,4098,17.7,163.3,717,262.5
155,Suriname,Americas,156,29,48.1,51.2,45.8,37.6,70.2,66.6,0,52.7,64.2,58.4,60.6,40,30,12.2,38,36,15.5,33.4,0.6,8.8,-13.5,-2.9,14513,8.7,34.9,-27,165.8
157,Sweden,Europe,11,8,77.9,97.3,97.1,95.7,44.9,26.4,95.8,84.6,65.4,83.6,79.2,85,80,2.9,57,20.6,42.9,49.5,10.4,562,-2.8,1,54146,8.5,0.7,26109,38.5
158,Switzerland,Europe,2,1,84.2,95.2,98,92.3,70.1,67.2,96.3,84.3,60,84.9,86.6,85,90,1.7,40,24,28.5,33.1,8.6,627.2,-3,1,72874,4.9,-0.7,-47172,42.9
159,Syria,Middle East and North Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,28,0,0,17.5,0,-10.5,-1.4,0,9,0,0,52.7
160,Taiwan ,Asia-Pacific,6,3,80.1,81.3,94.2,73.8,79.2,90.7,86.6,84.3,68.7,86.1,86,70,60,2,40,20,9,17.6,23.6,1316,3.1,2.9,55724,4.5,-0.2,8802,33.7
161,Tajikistan,Asia-Pacific,147,30,49.7,29.5,9.1,17.8,95.3,72.4,80,56.9,43.1,67.1,69.6,25,30,7.7,13,15,9,30.3,9.5,34.8,4.5,6.7,3676,7.5,8.6,107,48.1
162,Tanzania,Sub-Saharan Africa,93,10,59.5,36.9,27,36.9,80.6,91.9,93.3,46.3,62,73.8,59.8,55,50,10.1,30,30,11.7,16.5,59.7,163.6,1,5.7,2821,2.2,3,1013,38.2
163,Thailand,Asia-Pacific,70,13,63.2,44.2,36.2,38.5,81.3,84.4,89.8,63.4,59.6,74.2,71.6,55,60,6.7,35,20,15.8,22.8,69.8,1272.9,-6.1,1.6,18236,1,-0.8,-6100,49.6
164,Timor-Leste,Asia-Pacific,164,37,46.3,30.8,35.3,38.2,97.6,0,19.7,57.9,56.2,79.5,75,45,20,2.5,10,10,6.3,76.7,1.3,4.5,-6.8,-1.4,3382,5.1,0.5,72,12.2
165,Togo,Sub-Saharan Africa,104,15,57.2,36.8,35.1,28.8,68.7,88.9,88.8,51.5,54.5,77.3,65.6,60,30,12.2,45,27,19.4,19.2,8.3,18.2,0.7,4.2,2199,4.1,1.8,639,57.6
166,Tonga,Asia-Pacific,83,17,60.8,64.2,68.1,40.5,85.4,54.6,96.5,58.7,55.8,71.9,73.4,40,20,5.8,20,25,20.9,38.9,0.1,0.6,-0.5,2.1,6191,4.4,0.2,0,41.6
167,Trinidad and Tobago,Americas,99,21,58.8,58.8,59.3,44.2,79.1,69,12.9,60.9,57.4,84.6,68.8,60,50,8.1,25,30,23.7,32.1,1.4,35,-7.8,-3.5,25031,6.7,0.6,-439,59.4
168,Tunisia,Middle East and North Africa,128,10,54.2,60.9,49.5,47.3,75.2,67,20.8,57.7,56,74.4,66.2,45,30,9.4,35,15,32.1,33.2,11.8,120.5,-8.8,-0.4,10120,16.7,5.7,652,87.6
169,Turkey,Europe,107,42,56.9,42,25.6,39.4,74.7,63.8,59.2,63.4,47.1,61.9,75.6,70,60,4.7,40,20,23.1,34.7,84.3,2546.5,1.8,3.3,30253,13.9,12.3,7880,36.8
170,Turkmenistan,Asia-Pacific,165,38,46.2,19,8.3,7.4,92.6,94.5,98,37.5,30.7,72.7,74.2,10,10,2.9,10,20,15.6,13.5,6,98.2,0.8,5.2,16521,4.4,7.6,1169,31
171,Uganda,Sub-Saharan Africa,127,24,54.2,48.3,29.2,24,73.6,89.8,53.5,46.5,54.7,78.2,57.8,55,40,13.6,40,30,11.8,18.5,45.7,106.1,-2.1,3.9,2574,2.4,3.8,823,45.7
172,Ukraine,Europe,130,44,54.1,39.7,31.4,33.8,89.1,44.5,73.6,61.1,60.7,71.2,78.6,35,30,3.2,20,18,19.2,43,44.1,543.8,-4.2,1.5,13110,9.5,2.7,-868,60.7
173,United Arab Emirates,Middle East and North Africa,33,1,70.2,63.5,35.4,71.8,100,71.5,92.8,73.2,64.9,80.8,78.2,50,60,3.4,0,0,1,30.8,9.9,650.8,-5.9,0.5,58753,5,-2.1,19884,38.3
174,United Kingdom,Europe,24,17,72.7,96.2,85.9,87.1,65.4,46.3,22.6,79.1,62.1,83,84.2,80,80,2.9,45,19,32.7,42.3,67.2,2959.9,-9.9,-0.8,44117,4.3,0.9,19724,103.7
175,United States,Americas,25,3,72.1,95.7,77.9,75.7,75.9,54.5,0,87.5,75.8,82.3,75.2,85,80,2.4,37,21,24.5,38.9,329.5,20932.8,-3.5,1.1,63416,8.3,1.2,156321,127.1
176,Uruguay,Americas,34,5,70,84,80.4,75.2,72.4,70.2,75.2,75.7,60.3,70.9,70.4,75,30,9.8,36,25,29,31.5,3.5,79.3,-5.7,-0.3,22459,12.7,9.8,2630,66.3
177,Uzbekistan,Asia-Pacific,117,25,55.7,31.6,13.1,23.8,90.8,78.1,96.6,59.1,48,61.6,75.6,50,40,4.7,22,7.5,19.6,27,34.2,252.6,1.6,4.7,7449,6,12.9,1726,37.9
178,Vanuatu,Asia-Pacific,72,14,62.9,57.8,71.2,42.4,96.8,60.1,96.1,49.1,40,74.4,61.6,65,40,9.2,0,0,17.8,36.5,0.3,0.8,-9.2,1.6,2586,2,2.9,30,44.2
179,Venezuela,Americas,176,32,24.8,0.2,4.6,7.1,74.1,78.3,0,30.8,37.6,0,54.8,0,10,12.6,34,34,16.7,26.9,28.4,144.7,-30,-23.5,5178,9.1,2355.1,959,304.1
180,Vietnam,Asia-Pacific,84,18,60.6,49.6,33.8,33.6,80.9,85.5,78.8,73.6,53.9,68.8,78.8,40,50,5.6,35,20,16.9,22,97.3,1058.7,2.9,6.1,10869,2.3,3.2,15800,46.6
181,Yemen,Middle East and North Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,20,0,0,29.8,62.6,-5,-3.3,1927,13.4,26.2,-371,83.2
182,Zambia,Sub-Saharan Africa,154,36,48.7,38.3,45.2,30.8,70.9,73.3,0,44.2,41.9,66.4,68.2,55,50,8.4,37.5,35,16.7,29.8,18.4,63.1,-3.5,1.9,3342,12.2,16.4,234,117.8
183,Zimbabwe,Sub-Saharan Africa,173,46,33.1,20.8,16.3,20.6,66.1,87.2,79.8,36.9,34.9,0,0,25,10,67.7,51.5,24,12.6,20.7,14.9,39.8,-8,-1.3,2622,5.7,557.2,194,88.9
